questionType,epistemic,n_participants,mean_p,sd_p,se_p,ci_lo,ci_hi
close,hmm,56,0.5922619047619048,0.2841248176011944,0.037967775805118134,0.5178450641838732,0.6666787453399363
close,yes,55,0.6727272727272727,0.27398078310332996,0.03694356125716729,0.6003178926632249,0.7451366527913206
boss,hmm,53,0.6289308176100629,0.29352250134694646,0.0403184163166464,0.5499067216294359,0.7079549135906898
boss,yes,58,0.6379310344827586,0.2794765558285355,0.03669706961376609,0.566004778039777,0.7098572909257401
