effect,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,NA,(Intercept),0.04028087028859417,0.2563884782427532,0.1571087381331369,0.8751591510730578,-0.4622313131182332,0.5427930536954215
fixed,NA,qtype_cboss_vs_close,0.2870651914672403,0.18847866090866877,1.5230646805494001,0.1277425241399208,-0.08234619576808777,0.6564765787025684
fixed,NA,epist_cyes_vs_hmm,-0.05241808054983121,0.22772289095142761,-0.23018362506653656,0.8179490855551961,-0.4987467452699714,0.393910584170309
fixed,NA,qtype_cboss_vs_close:epist_cyes_vs_hmm,-0.5863156331091791,0.23064529434691308,-2.5420663134245567,0.011019926367363196,-1.0383721032327684,-0.13425916298558987
ran_pars,participantId,sd__(Intercept),0.5996541834268461,NA,NA,NA,NA,NA
