effect,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,NA,(Intercept),0.06345418038537765,0.20706518102831772,0.30644543940344954,0.7592655157209247,-0.34238611688239146,0.46929447765314675
fixed,NA,qtype_cboss_vs_close,-0.13071298403184622,0.11860920457647484,-1.102047556077887,0.27044099733929783,-0.3631827532366802,0.10175678517298775
fixed,NA,epist_cyes_vs_hmm,-0.16722181779252052,0.14428447469606515,-1.1589730505986373,0.24646717020085776,-0.45001419172508894,0.11557055614004788
fixed,NA,age_c,-0.010559543951369713,0.21332763758205645,-0.049499183842543544,0.9605214876034728,-0.42867403051921354,0.4075549426164741
fixed,NA,qtype_cboss_vs_close:epist_cyes_vs_hmm,-0.3595691599071689,0.1498167397609079,-2.400059969807141,0.016392386051153066,-0.6532045741197583,-0.0659337456945796
ran_pars,participantId,sd__(Intercept),0.9109899266710327,NA,NA,NA,NA,NA
