Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-0.015473209596041683,0.95,-0.18878507029669367,0.14466123712969806,0.5740833333333333,0.95,-0.18,0.18,0.9971052631578947,1.0007070602249981,5741.671751107649
b_questionTypeboss_vs_close,0.6325169733671412,0.95,0.3891163534710879,0.890895845019754,1,0.95,-0.18,0.18,0,1.0005253514442694,4561.374762430855
b_epistemicyes_vs_hmm,-0.12496543473117212,0.95,-0.32141706805354037,0.0612447394532405,0.90725,0.95,-0.18,0.18,0.7258771929824561,1.0004670085118754,6680.476145573856
b_ageGroupolder_vs_younger,-0.1617073266152238,0.95,-0.3224578662239644,-4.651348131397443e-4,0.9734166666666667,0.95,-0.18,0.18,0.5956140350877193,1.000002918861836,7844.2102267145665
b_questionTypeboss_vs_close:epistemicyes_vs_hmm,-0.12251404209447886,0.95,-0.3162638455364961,0.06694271821050261,0.8985,0.95,-0.18,0.18,0.7392105263157894,0.999712130112365,6521.48428936809
b_questionTypeboss_vs_close:ageGroupolder_vs_younger,-0.24463477679111628,0.95,-0.49035802577862025,0.011545750200123245,0.9714166666666667,0.95,-0.18,0.18,0.28982456140350876,1.0016050617050094,4656.2012599624295
b_epistemicyes_vs_hmm:ageGroupolder_vs_younger,0.004824237237067142,0.95,-0.19463222562035778,0.19310631572075287,0.51925,0.95,-0.18,0.18,0.9792982456140351,1.0006624012964824,6868.519371275068
b_questionTypeboss_vs_close:epistemicyes_vs_hmm:ageGroupolder_vs_younger,-0.01229076387354127,0.95,-0.20252513575197284,0.18244526768593006,0.5498333333333333,0.95,-0.18,0.18,0.9798245614035088,1.0002772375176863,6709.48959858012
