model,term,median,mean,ci_lo,ci_hi,pd,bf10_savage_dickey,rhat
m_sens_priors_tight,Intercept,0.027342252,0.030121714,-0.12019533962011336,0.18920640237629416,0.636,0.05429215511783546,1.0013932
m_sens_priors_tight,questionType1,0.6568501,0.6567745,0.4315095655620098,0.8792187452316285,1.0,2.121079226071126e+21,1.0001904
m_sens_priors_tight,epistemic1,0.00472528,0.004587751,-0.17280985191464424,0.18011685647070408,0.5203333333333333,0.17777995363790006,1.0002782
m_sens_priors_tight,ageGroup1,-0.13492872,-0.1344923,-0.28788128942251207,0.012302229111082889,0.9656666666666667,0.7106501326793282,0.99963635
m_sens_priors_tight,questionType1:epistemic1,-0.011922998,-0.011881644,-0.18554438538849352,0.1601514782756567,0.555,0.17449558779137164,1.0006709
m_sens_priors_tight,questionType1:ageGroup1,-0.24499804,-0.2471454,-0.46294328570365906,-0.03327144328504795,0.9876666666666667,2.7111649998860314,1.0012492
m_sens_priors_tight,epistemic1:ageGroup1,-0.04940883,-0.04971274,-0.23200675025582312,0.12206260301172735,0.703,0.21570627624355487,1.0006031
m_sens_priors_tight,questionType1:epistemic1:ageGroup1,-0.06555948,-0.06643576,-0.235641336068511,0.10459024552255869,0.7896666666666666,0.22793359706128846,0.99963367
