model,term,median,mean,ci_lo,ci_hi,pd,bf10_savage_dickey,rhat
m_age_exact_continuous,Intercept,0.051849373,0.05292493,-0.0980475503951311,0.2080273892730475,0.748,0.0665478879159665,1.0014315
m_age_exact_continuous,questionType1,0.713135,0.71459764,0.4886474795639515,0.9464416891336441,1.0,1.6334579990382643e+52,1.0026754
m_age_exact_continuous,epistemic1,0.012357654,0.012845194,-0.16630442142486573,0.19576452523469925,0.5545,0.09241397539221549,1.0002254
m_age_exact_continuous,age_c,0.14372152,0.1445171,0.019394503440707922,0.2712185494601727,0.9855,0.710339044783016,1.0003252
m_age_exact_continuous,questionType1:epistemic1,0.0056097666,0.004961819,-0.1672637201845646,0.18013501279056077,0.52525,0.0858936537818543,1.0003229
m_age_exact_continuous,questionType1:age_c,0.28483266,0.2874303,0.10209030397236347,0.476962247490883,0.99925,5.676323815254124,1.0016813
m_age_exact_continuous,epistemic1:age_c,0.03418064,0.035006944,-0.11121497154235839,0.1839057836681605,0.66975,0.08274525330995934,1.0014398
m_age_exact_continuous,questionType1:epistemic1:age_c,0.06655882,0.06724017,-0.07491739708930253,0.2098388023674488,0.82075,0.11317903061673934,1.0007002
