model,term,median,mean,ci_lo,ci_hi,pd,bf10_savage_dickey,rhat
m_sens_6_with_older,Intercept,-0.04090718,-0.041246552,-0.22125980593264102,0.13591047860682012,0.6883333333333334,0.06589104468163037,1.0009798
m_sens_6_with_older,questionType1,0.5183848,0.51875204,0.2652711965143681,0.7784765869379044,0.9996666666666667,80.14844253043923,0.9996239
m_sens_6_with_older,epistemic1,0.029552087,0.027267156,-0.1743661567568779,0.22400072738528265,0.616,0.11030505705496631,1.0016761
m_sens_6_with_older,ageGroup1,-0.1671516,-0.1673778,-0.33772590309381484,-0.0030317496682981315,0.9766666666666667,0.5679859109994477,1.0001972
m_sens_6_with_older,questionType1:epistemic1,-0.026505768,-0.02682662,-0.2224702451378107,0.16962522752583029,0.603,0.10607172059878864,1.0003828
m_sens_6_with_older,questionType1:ageGroup1,-0.3718329,-0.3695732,-0.6286719605326653,-0.10313103999942513,0.9926666666666667,3.3830519704831277,1.001761
m_sens_6_with_older,epistemic1:ageGroup1,0.02866846,0.023973785,-0.18058881647884845,0.22484204284846784,0.6,0.11256936376573866,1.0018224
m_sens_6_with_older,questionType1:epistemic1:ageGroup1,-0.07116637,-0.06834172,-0.26814996600151064,0.13133661746978764,0.7493333333333333,0.14032200615782284,0.9996991
