epistemic,age_yr,response,lower.HPD,upper.HPD
Hmm,5,0.5013840344616122,0.3441164401880149,0.6539932432591636
Yes,5,0.6491161654555864,0.487649989981957,0.7890059375685021
Hmm,6,0.3587187470604735,0.2274327510846161,0.5003869917229488
Yes,6,0.4912290165705445,0.3484466994619681,0.6355884497586506
Hmm,7,0.7608732135425149,0.6389181200591191,0.8698781440240915
Yes,7,0.5930337067323435,0.45152966157781205,0.7274560026607668
Hmm,8,0.5475151820915637,0.3870373986444419,0.7113396922224605
Yes,8,0.6945245334559185,0.5341111804629854,0.8314290241546345
